nodeId,joinsLegs,longitude,latitude
1382900687,3,0.165732,52.129772
1382900704,1,0.173516,52.128256
1382900718,3,0.160984,52.132018
1382900722,1,0.165793,52.130003
1382900738,3,0.164047,52.127675
1382900741,1,0.166109,52.128458
1382900754,3,0.165096,52.129669
1382900756,1,0.165669,52.137215
1383467961,3,0.192144,52.202395
1383645625,3,0.191053,52.201301
1383645634,2,0.191375,52.200421
1383645636,2,0.191318,52.200395
1384362432,4,0.196028,52.198846
1384362439,3,0.196000,52.198820
1384362441,3,0.196965,52.198438
1384362446,3,0.197231,52.198258
1384362447,3,0.194229,52.200519
1384362458,3,0.199676,52.196014
1384362460,2,0.199843,52.195768
1386672248,4,0.137288,52.211011
1386847501,3,0.186778,52.202991
1386847505,3,0.187484,52.202850
1387417096,2,0.185758,52.205169
1390071149,2,0.105771,52.200380
1390240246,4,0.158508,52.230756
1390240247,1,0.157778,52.230265
1390240248,2,0.159018,52.230522
1390240255,1,0.158760,52.229217
1390240263,1,0.159369,52.230236
1390240269,3,0.156449,52.228335
1390240272,1,0.157784,52.230443
1390240274,1,0.157717,52.227954
1390240277,3,0.156975,52.229885
1390240279,1,0.158650,52.229117
1390240281,1,0.157880,52.228079
1390240283,1,0.157473,52.230353
1390240286,3,0.157301,52.228303
1390240287,4,0.158233,52.229817
1390240289,1,0.157741,52.230052
1390240291,1,0.158057,52.228314
1390240295,1,0.158717,52.230323
1390240302,3,0.157781,52.229585
1390240305,2,0.160003,52.230132
1390240307,4,0.157665,52.229989
1390240309,1,0.158629,52.230630
1390240311,2,0.176004,52.238605
1390240314,3,0.158519,52.229316
1390240317,1,0.157961,52.229988
1390240318,1,0.160098,52.231277
1390240320,1,0.159634,52.231338
1390240322,3,0.158325,52.230564
1390240323,3,0.159070,52.229843
1390240326,3,0.158079,52.229874
1390240328,1,0.157427,52.228715
1390240332,3,0.158700,52.230476
1390240338,3,0.158019,52.228837
1390240339,3,0.158859,52.229642
1390240344,1,0.157566,52.229894
1390240346,2,0.158631,52.229667
1390240352,3,0.157212,52.229802
1390240353,3,0.159130,52.229818
1390240354,3,0.157271,52.228410
1390240358,2,0.175934,52.238530
1390240365,1,0.156885,52.228131
1390240367,3,0.158370,52.231050
1390240373,1,0.160587,52.230995
1390240388,1,0.158647,52.230813
1390240396,3,0.160178,52.230360
1390240402,3,0.158277,52.230066
1390240413,3,0.159493,52.231202
1390240423,1,0.158275,52.230745
1390240443,3,0.159867,52.231056
1390240451,3,0.157392,52.229738
1390240453,1,0.157542,52.229866
1390240455,1,0.159629,52.230144
1390240458,4,0.157619,52.229649
1390240466,1,0.157577,52.230024
1390240479,3,0.158416,52.229217
1390240483,3,0.159084,52.231354
1390240485,1,0.173868,52.236945
1390240489,1,0.158250,52.228752
1390240495,1,0.158098,52.228642
1390240513,1,0.156633,52.229155
1390240517,3,0.157875,52.229903
1390240523,1,0.160571,52.230788
1390240530,4,0.158862,52.230634
1390240536,3,0.159249,52.230014
1390240550,1,0.155587,52.228959
1390240584,3,0.156642,52.229605
1390240587,1,0.158001,52.228514
1390240593,3,0.159270,52.231286
1390240599,1,0.157355,52.229934
1390240610,3,0.157284,52.229781
1390240612,1,0.158497,52.228976
1390240623,1,0.159147,52.229535
1390240630,3,0.159318,52.230080
1390240641,3,0.157746,52.228615
1390240642,3,0.157897,52.228720
1390240643,3,0.159066,52.230566
1390240644,1,0.160407,52.230564
1390240645,3,0.157102,52.229991
1390240647,3,0.157576,52.228535
1390240659,1,0.157346,52.227454
1390240662,3,0.157153,52.228976
1390240663,3,0.156955,52.228785
1390240667,1,0.157506,52.230283
1390240669,3,0.158261,52.229069
1390240673,3,0.158387,52.230173
1390240677,3,0.160189,52.230930
1390974273,1,0.187133,52.207514
1393112282,2,0.158583,52.243266
1393112295,1,0.155327,52.239797
1393112299,1,0.156778,52.239483
1393112301,4,0.157631,52.243143
1393112303,3,0.150032,52.232742
1393112311,3,0.156550,52.239447
1393112312,1,0.158795,52.242647
1393112314,3,0.155482,52.239797
1393112315,3,0.158437,52.240225
1393112316,1,0.149914,52.232103
1393112317,1,0.158684,52.242946
1393112319,3,0.149576,52.232781
1393112321,3,0.160494,52.242876
1393112325,1,0.156027,52.240877
1393112327,1,0.156711,52.241059
1393112328,3,0.157215,52.243269
1393112333,1,0.158993,52.243129
1393112334,3,0.158336,52.242835
1393112335,3,0.158675,52.243310
1393112339,1,0.158712,52.243322
1393112345,3,0.158559,52.240429
1393112347,1,0.157534,52.240411
1393112349,3,0.160060,52.243058
1393112352,1,0.158261,52.243157
1393112355,1,0.160428,52.243158
1393166340,1,0.159318,52.243046
1393816159,3,0.157950,52.243589
1393816223,3,0.158325,52.243630
1393816234,1,0.158107,52.243767
1393816273,1,0.158361,52.243665
1393816283,3,0.157580,52.243694
1393816287,1,0.157682,52.243869
1393816337,1,0.158400,52.243607
1393816360,3,0.158209,52.243515
1393882565,1,0.157140,52.245081
1393882567,1,0.157164,52.245392
1393882568,1,0.160474,52.244424
1393882570,1,0.160876,52.244308
1393882572,2,0.156030,52.245333
1393882576,2,0.155370,52.245431
1394001347,3,0.161760,52.243612
1394001430,1,0.159883,52.242780
1394001509,1,0.161601,52.243991
1394056096,1,0.170182,52.245142
1394056101,3,0.167926,52.246831
1394059945,3,0.167412,52.243941
1394059946,1,0.166863,52.244191
1394059950,1,0.168003,52.243604
1394088843,1,0.164997,52.243898
1394088844,3,0.164737,52.243615
1394088859,1,0.165280,52.243906
1394088862,3,0.165686,52.244265
1394088864,3,0.164644,52.243752
1394088868,1,0.165391,52.243661
1394249441,1,0.164095,52.241585
1394249454,3,0.164421,52.241893
1394956907,3,0.168257,52.241784
1394957027,3,0.168603,52.241526
1394957157,1,0.167945,52.241473
1394958295,1,0.168267,52.241415
1394973302,3,0.165971,52.240550
1394973333,1,0.165415,52.240603
1395132412,3,0.253358,52.202601
1395186234,3,0.166488,52.243950
1395186266,3,0.166812,52.243974
1395186277,1,0.166470,52.243757
1395186306,3,0.166393,52.243979
1395186589,3,0.167502,52.242905
1395186615,1,0.166206,52.243796
1395186618,1,0.167850,52.243043
1397537901,1,0.253401,52.202162
1397675924,2,0.218678,52.211918
1398732859,1,0.253888,52.202359
1398732894,3,0.253867,52.202691
1398768304,3,0.252959,52.203135
1398768306,1,0.253677,52.203301
1398901609,4,0.132675,52.189548
1398901610,3,0.130255,52.188818
1398901626,3,0.132255,52.190165
1398901630,2,0.132406,52.189937
1398901632,3,0.131973,52.189362
1398901639,3,0.131474,52.189975
1398950203,3,0.133098,52.189077
1398950204,2,0.133051,52.188916
1398950207,3,0.132691,52.190274
1399021192,3,0.131880,52.189252
1399021198,1,0.131282,52.189890
1399066342,1,0.115943,52.249436
1399066412,4,0.115818,52.249481
1399066434,1,0.114273,52.247582
1399066440,3,0.114421,52.247801
1399066450,3,0.114609,52.247430
1399066497,3,0.113982,52.249749
1399066542,1,0.114691,52.247485
1399066554,3,0.114712,52.247374
1399066568,1,0.114376,52.247706
1399066571,3,0.114188,52.249676
1399066585,3,0.114257,52.247783
1399066603,1,0.114501,52.247881
1399066698,3,0.113508,52.249884
1399066746,3,0.113795,52.249802
1399066947,1,0.115700,52.249526
1399066955,3,0.114074,52.249715
1399723201,4,0.107401,52.214708
1399723204,5,0.107399,52.214779
1399723205,4,0.107040,52.214828
1399723207,5,0.107085,52.214883
1400023325,1,0.118486,52.221929
1400023355,3,0.118420,52.221988
1400023359,1,0.118300,52.221940
1400023387,3,0.118349,52.221842
1400023441,3,0.118336,52.221815
1400023442,3,0.118400,52.221947
1400023475,1,0.118245,52.221833
1400023498,3,0.118089,52.222057
1400023501,3,0.118314,52.221768
1400023521,1,0.118428,52.221825
1400023552,3,0.118387,52.221920
1400197076,1,0.163728,52.247666
1400197263,3,0.163148,52.247832
1400383193,2,0.106862,52.219973
1400383213,1,0.107561,52.223457
1400383215,1,0.103602,52.219678
1400383217,2,0.108236,52.220963
1400383228,1,0.106254,52.220150
1400383255,4,0.110093,52.222032
1400383275,4,0.111116,52.217827
1400383290,3,0.108310,52.223527
1400383292,2,0.107611,52.220516
1400383298,2,0.111837,52.224916
1400383299,3,0.109058,52.223222
1400383302,2,0.109779,52.222288
1400383314,2,0.110409,52.223833
1400383316,3,0.112027,52.223075
1400383317,3,0.109683,52.222283
1400383326,3,0.111131,52.219738
1400383341,1,0.109727,52.222105
1400383356,3,0.109956,52.222299
1400383357,4,0.110891,52.222083
1400383378,3,0.112046,52.222100
1400383382,3,0.110525,52.221934
1400383399,3,0.111746,52.222045
1400383418,1,0.109798,52.221802
1400383434,1,0.111163,52.219814
1400383439,3,0.109823,52.221972
1400383470,1,0.101349,52.220895
1400383479,3,0.110284,52.218887
1400383481,2,0.109625,52.219662
1400383495,3,0.111248,52.219638
1400383496,3,0.106699,52.219855
1400383502,2,0.106219,52.219119
1400383511,2,0.109148,52.220689
1400383532,1,0.111241,52.219618
1400383537,1,0.109267,52.222417
1400383559,3,0.110005,52.221865
1400383577,1,0.110180,52.218914
1400383613,3,0.109969,52.222031
1400383629,3,0.112022,52.222372
1400383632,4,0.112067,52.222263
1400383634,1,0.109932,52.223868
1400383669,2,0.104454,52.219555
1400383702,1,0.110423,52.218851
1400383714,4,0.110548,52.222081
1400383721,3,0.109514,52.222770
1400383740,4,0.109520,52.223014
1400383741,3,0.107253,52.223602
1400383743,3,0.109766,52.222558
1400383744,3,0.103916,52.219220
1400383750,3,0.109575,52.223062
1400383757,3,0.108229,52.223563
1400383778,2,0.106314,52.219571
1400383787,3,0.108787,52.223364
1400383792,3,0.109951,52.222113
1400386427,1,0.111212,52.221270
1400396595,4,0.111985,52.222253
1400396628,3,0.111993,52.221797
1400396633,3,0.112219,52.222095
1400396635,2,0.111896,52.221916
1400396660,4,0.111910,52.222032
1400396674,3,0.112331,52.221997
1400396684,3,0.112182,52.221781
1400396687,4,0.111902,52.221965
1400396703,2,0.112416,52.221990
1400396706,3,0.112305,52.221865
1400418796,3,0.154158,52.242888
1400418852,1,0.155114,52.242243
1400418855,1,0.153988,52.242528
1400984965,3,0.143831,52.205904
1400984966,4,0.144815,52.206659
1400984985,2,0.147174,52.208648
1400984989,3,0.143683,52.205793
1400984994,3,0.144501,52.205682
1400985000,3,0.144222,52.206129
1400985012,3,0.144303,52.205739
1400985014,3,0.144700,52.205729
1400985019,3,0.142997,52.205260
1400985027,3,0.144683,52.205846
1400985029,1,0.144547,52.207432
1400985033,4,0.143662,52.205853
1400985041,4,0.144617,52.205753
1400985046,3,0.145905,52.207254
1400985050,3,0.143230,52.204868
1400985051,3,0.145175,52.206620
1400985060,4,0.145308,52.206529
1400985064,4,0.143784,52.205370
1400985065,3,0.144966,52.206681
1400985079,3,0.142775,52.205654
1400985085,3,0.144871,52.206111
1400985098,2,0.146295,52.207886
1400985099,4,0.142952,52.205337
1400985107,3,0.145431,52.206494
1400985112,3,0.144252,52.204995
1400985126,3,0.148765,52.206481
1400985127,2,0.145428,52.208059
1400985138,3,0.143479,52.205796
1400985139,3,0.143667,52.205529
1400985142,3,0.142927,52.205378
1400985143,4,0.149887,52.206360
1400985155,4,0.143932,52.205941
1400985167,3,0.144090,52.205802
