id,quietness,speed,pause,cyclable,walkable
4315782,90,27,0,1,1
4315783,80,24,0,1,1
4315784,80,24,0,1,1
4315785,80,24,0,1,1
4315786,80,24,0,1,1
4315787,80,24,0,1,1
4315788,80,24,0,1,1
4315789,60,24,0,1,1
4315790,60,20,0,1,1
4315791,80,24,0,1,1
4315792,80,24,0,1,1
4315793,80,24,0,1,1
4315794,80,24,0,1,1
4315795,80,24,0,1,1
4315797,80,24,0,1,0
4315798,80,24,0,1,1
4315799,80,24,0,1,1
4315808,25,1,15,0,1
4315828,100,27,0,1,1
4315830,80,24,0,1,1
4315842,80,24,0,1,1
4315843,80,24,0,1,1
4315844,80,24,0,1,1
4315845,80,24,0,1,1
4315848,80,24,0,1,1
4315870,50,6,10,1,1
4315872,80,24,0,1,1
4315875,80,24,0,1,1
4315876,80,24,0,1,1
4315877,42,10,2,1,1
4315879,60,24,0,1,1
4315880,70,24,0,1,1
4315881,42,10,2,1,1
4315882,70,24,0,1,1
4315883,70,24,0,1,1
4315884,70,24,0,1,1
4315885,70,24,0,1,1
4315886,90,24,0,1,1
4315887,80,27,0,1,1
4315889,70,6,3,0,1
4315892,90,24,0,1,1
4315894,80,27,0,1,1
4315896,60,20,0,1,1
4315897,100,30,0,1,1
4315898,100,27,0,1,1
4315899,80,27,0,1,1
4315900,90,24,0,1,1
4315902,70,6,3,0,1
4315912,80,24,0,1,1
4315913,80,24,0,1,1
4315914,80,24,0,1,1
